timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2023-12-31T00:00:00.000Z";"2023-12-31T23:59:59.999Z";"2023-12-31T12:19:00.000Z";"2023-12-31T03:31:00.000Z";"2790";92.1208107297;95.0961272931;90.3499708098;91.9632565489;1581683530.3761535;39415683349.91687;"2023-12-31T23:59:59.999Z"
"2023-12-30T00:00:00.000Z";"2023-12-30T23:59:59.999Z";"2023-12-30T01:28:00.000Z";"2023-12-30T09:46:00.000Z";"2790";96.1498629249;97.081273801;91.4188480141;92.1216284188;1685294653.2806268;39547660613.69897;"2023-12-30T23:59:59.999Z"
"2023-12-29T00:00:00.000Z";"2023-12-29T23:59:59.999Z";"2023-12-29T09:34:00.000Z";"2023-12-29T01:02:00.000Z";"2790";92.2242947349;99.225600694;90.3148074565;96.1616346156;4016982975.140598;41225690407.748634;"2023-12-29T23:59:59.999Z"
"2023-12-28T00:00:00.000Z";"2023-12-28T23:59:59.999Z";"2023-12-28T00:32:00.000Z";"2023-12-28T14:46:00.000Z";"2790";96.3444069141;98.4929232095;88.0492593178;92.2622975069;4044368961.0051203;39406015537.840775;"2023-12-28T23:59:59.999Z"
"2023-12-27T00:00:00.000Z";"2023-12-27T23:59:59.999Z";"2023-12-27T11:01:00.000Z";"2023-12-27T17:05:00.000Z";"2790";102.0217902574;104.0472210857;94.8656275307;96.3461361479;3865104919.235409;41493304277.77275;"2023-12-27T23:59:59.999Z"
"2023-12-26T00:00:00.000Z";"2023-12-26T23:59:59.999Z";"2023-12-26T00:07:00.000Z";"2023-12-26T17:43:00.000Z";"2790";109.8883945542;109.9694339304;94.9290072471;102.0379129919;5551994108.493886;43846649052.34918;"2023-12-26T23:59:59.999Z"
"2023-12-25T00:00:00.000Z";"2023-12-25T23:59:59.999Z";"2023-12-25T18:13:00.000Z";"2023-12-25T00:46:00.000Z";"2790";102.1730978141;113.6839452437;98.8435396827;109.9297518948;5402369739.118072;47006085716.41628;"2023-12-25T23:59:59.999Z"
"2023-12-24T00:00:00.000Z";"2023-12-24T23:59:59.999Z";"2023-12-24T04:16:00.000Z";"2023-12-24T00:00:00.000Z";"2790";97.6965698914;106.4918476328;97.6965698914;102.1014761235;5772936670.508346;43608085493.583466;"2023-12-24T23:59:59.999Z"
"2023-12-23T00:00:00.000Z";"2023-12-23T23:59:59.999Z";"2023-12-23T22:55:00.000Z";"2023-12-23T04:09:00.000Z";"2790";88.8813574878;99.314227369;84.4419697698;97.5778549975;3589143834.7438064;41711919619.80084;"2023-12-23T23:59:59.999Z"
"2023-12-22T00:00:00.000Z";"2023-12-22T23:59:59.999Z";"2023-12-22T02:41:00.000Z";"2023-12-22T09:19:00.000Z";"2790";85.2669114318;90.1228389764;82.4679216379;88.8831724191;4800524950.45313;38046831915.48067;"2023-12-22T23:59:59.999Z"
"2023-12-21T00:00:00.000Z";"2023-12-21T23:59:59.999Z";"2023-12-21T23:13:00.000Z";"2023-12-21T01:19:00.000Z";"2790";75.0999296183;86.5942930367;74.1943203257;85.2697234263;4305287322.390235;36649773654.92539;"2023-12-21T23:59:59.999Z"
"2023-12-20T00:00:00.000Z";"2023-12-20T23:59:59.999Z";"2023-12-20T18:15:00.000Z";"2023-12-20T00:00:00.000Z";"2790";66.4752707716;76.6098313608;66.4752707716;75.0913058057;3411412407.997104;32025157243.170868;"2023-12-20T23:59:59.999Z"
"2023-12-19T00:00:00.000Z";"2023-12-19T23:59:59.999Z";"2023-12-19T07:52:00.000Z";"2023-12-19T18:02:00.000Z";"2790";68.0643806351;69.7621759954;65.600155252;66.4721482957;1740192506.0117738;28588386765.979946;"2023-12-19T23:59:59.999Z"
"2023-12-18T00:00:00.000Z";"2023-12-18T23:59:59.999Z";"2023-12-18T21:49:00.000Z";"2023-12-18T10:35:00.000Z";"2790";65.1083557866;69.0067370707;61.6905028222;68.0667619065;2094501224.9759052;29188755431.7286;"2023-12-18T23:59:59.999Z"
"2023-12-17T00:00:00.000Z";"2023-12-17T23:59:59.999Z";"2023-12-17T19:19:00.000Z";"2023-12-17T23:37:00.000Z";"2790";67.3555107313;68.5096610057;65.0130947242;65.1765622215;1423092200.058155;27840389279.41311;"2023-12-17T23:59:59.999Z"
"2023-12-16T00:00:00.000Z";"2023-12-16T23:59:59.999Z";"2023-12-16T16:01:00.000Z";"2023-12-16T00:40:00.000Z";"2790";66.4009274782;70.6597340899;65.6087601874;67.3543350005;1633563066.7504528;28801953825.655437;"2023-12-16T23:59:59.999Z"
"2023-12-15T00:00:00.000Z";"2023-12-15T23:59:59.999Z";"2023-12-15T09:49:00.000Z";"2023-12-15T23:58:00.000Z";"2790";68.8016294396;72.2383340221;66.3396530225;66.3418123742;2566430042.79607;28149693612.248177;"2023-12-15T23:59:59.999Z"
"2023-12-14T00:00:00.000Z";"2023-12-14T23:59:59.999Z";"2023-12-14T23:31:00.000Z";"2023-12-14T02:36:00.000Z";"2790";65.0026792478;69.2748767151;64.0746067841;68.7840268496;2264743534.8838997;29705788836.064865;"2023-12-14T23:59:59.999Z"
"2023-12-13T00:00:00.000Z";"2023-12-13T23:59:59.999Z";"2023-12-13T22:22:00.000Z";"2023-12-13T07:03:00.000Z";"2790";63.4528477809;66.5271613409;59.6935050177;65.020378518;2235646419.8304896;28004735173.303856;"2023-12-13T23:59:59.999Z"
"2023-12-12T00:00:00.000Z";"2023-12-12T23:59:59.999Z";"2023-12-12T02:25:00.000Z";"2023-12-12T18:01:00.000Z";"2790";65.3357701985;67.1785363983;61.1478502126;63.473879963;2197961995.837031;27144772318.255524;"2023-12-12T23:59:59.999Z"
"2023-12-11T00:00:00.000Z";"2023-12-11T23:59:59.999Z";"2023-12-11T00:01:00.000Z";"2023-12-11T14:35:00.000Z";"2790";69.4088411143;69.5239323092;62.5360831363;65.370543406;3464709381.560529;27863966552.981255;"2023-12-11T23:59:59.999Z"
"2023-12-10T00:00:00.000Z";"2023-12-10T23:59:59.999Z";"2023-12-10T23:58:00.000Z";"2023-12-10T10:01:00.000Z";"2790";67.0837525652;69.4145926473;65.8272292115;69.3972115191;1716579065.3684385;29545229236.55774;"2023-12-10T23:59:59.999Z"
"2023-12-09T00:00:00.000Z";"2023-12-09T23:59:59.999Z";"2023-12-09T07:47:00.000Z";"2023-12-09T23:37:00.000Z";"2790";69.6052966056;71.9373785667;66.8672396784;67.0695096644;2685513131.539054;28568783682.36108;"2023-12-09T23:59:59.999Z"
"2023-12-08T00:00:00.000Z";"2023-12-08T23:59:59.999Z";"2023-12-08T23:50:00.000Z";"2023-12-08T00:01:00.000Z";"2790";62.8793880614;69.7354741124;62.874301807;69.6172612168;3348211304.2908597;29609940766.163086;"2023-12-08T23:59:59.999Z"
"2023-12-07T00:00:00.000Z";"2023-12-07T23:59:59.999Z";"2023-12-07T22:25:00.000Z";"2023-12-07T00:05:00.000Z";"2790";57.5253288442;64.1938556987;57.458183092;62.8623294867;2788728312.625409;26844773741.239887;"2023-12-07T23:59:59.999Z"
"2023-12-06T00:00:00.000Z";"2023-12-06T23:59:59.999Z";"2023-12-06T09:05:00.000Z";"2023-12-06T00:00:00.000Z";"2790";56.4983955682;61.5435281035;56.4983955682;57.5033912504;2808243114.120141;24397548109.154404;"2023-12-06T23:59:59.999Z"
"2023-12-05T00:00:00.000Z";"2023-12-05T23:59:59.999Z";"2023-12-05T18:13:00.000Z";"2023-12-05T07:46:00.000Z";"2790";56.7732767855;57.9590734826;54.8233703035;56.5165900104;1562617202.0806353;23889450602.484802;"2023-12-05T23:59:59.999Z"
"2023-12-04T00:00:00.000Z";"2023-12-04T23:59:59.999Z";"2023-12-04T05:47:00.000Z";"2023-12-04T14:10:00.000Z";"2790";57.8870149675;59.908121785;55.5858152878;56.7771898165;2031136245.231768;23975610055.058735;"2023-12-04T23:59:59.999Z"
"2023-12-03T00:00:00.000Z";"2023-12-03T23:59:59.999Z";"2023-12-03T01:09:00.000Z";"2023-12-03T17:32:00.000Z";"2790";58.6226661257;60.0697337777;57.3327888998;57.8863852319;1257381642.4209018;24571158086.23697;"2023-12-03T23:59:59.999Z"
"2023-12-02T00:00:00.000Z";"2023-12-02T23:59:59.999Z";"2023-12-02T23:59:00.000Z";"2023-12-02T00:02:00.000Z";"2790";54.9031867354;58.6336735815;54.8756594546;58.6336735815;1236003624.856081;24859737533.872704;"2023-12-02T23:59:59.999Z"
"2023-12-01T00:00:00.000Z";"2023-12-01T23:59:59.999Z";"2023-12-01T10:04:00.000Z";"2023-12-01T00:50:00.000Z";"2790";54.3880513186;56.6592139449;53.9081418025;54.9034185849;1263954923.060292;23292464087.71763;"2023-12-01T23:59:59.999Z"
"2023-11-30T00:00:00.000Z";"2023-11-30T23:59:59.999Z";"2023-11-30T12:50:00.000Z";"2023-11-30T01:11:00.000Z";"2790";53.9970197731;55.9554046884;53.6809564168;54.3719622449;1151723156.0352066;22887643105.579212;"2023-11-30T23:59:59.999Z"
"2023-11-29T00:00:00.000Z";"2023-11-29T23:59:59.999Z";"2023-11-29T09:07:00.000Z";"2023-11-29T00:16:00.000Z";"2790";52.8830501394;56.1011662271;52.5993601431;53.9938135292;1764216303.8345323;22803725014.410957;"2023-11-29T23:59:59.999Z"
"2023-11-28T00:00:00.000Z";"2023-11-28T23:59:59.999Z";"2023-11-28T20:56:00.000Z";"2023-11-28T06:02:00.000Z";"2790";50.2418948658;53.3545372746;49.3886086802;52.8962957113;1288665922.6126463;22482063560.770287;"2023-11-28T23:59:59.999Z"
"2023-11-27T00:00:00.000Z";"2023-11-27T23:59:59.999Z";"2023-11-27T01:10:00.000Z";"2023-11-27T19:49:00.000Z";"2790";52.6788929463;53.0824573865;49.0405047701;50.2507054317;1131446781.840421;21313079814.618084;"2023-11-27T23:59:59.999Z"
"2023-11-26T00:00:00.000Z";"2023-11-26T23:59:59.999Z";"2023-11-26T00:07:00.000Z";"2023-11-26T16:33:00.000Z";"2790";53.7582321639;53.8610454225;51.6102740435;52.6915368525;795843421.8716377;22297429181.467064;"2023-11-26T23:59:59.999Z"
"2023-11-25T00:00:00.000Z";"2023-11-25T23:59:59.999Z";"2023-11-25T02:34:00.000Z";"2023-11-25T00:08:00.000Z";"2790";51.9501964239;54.497043011;51.4559578483;53.7592113725;1081454344.7958117;22756536343.52264;"2023-11-25T23:59:59.999Z"
